Dec   Hex  Oct   Code     Char Description
241   f1   361   U+017b   Ż    LATIN CAPITAL LETTER Z WITH DOT ABOVE
242   f2   362   U+017c   ż    LATIN SMALL LETTER Z WITH DOT ABOVE
243   f3   363   U+017d   Ž    LATIN CAPITAL LETTER Z WITH CARON
244   f4   364   U+017e   ž    LATIN SMALL LETTER Z WITH CARON
245   f5   365   U+2010   ‐    HYPHEN
246   f6   366   U+2013   –    EN DASH
247   f7   367   U+2014   —    EM DASH
248   f8   370   U+2018   ‘    LEFT SINGLE QUOTATION MARK
249   f9   371   U+2019   ’    RIGHT SINGLE QUOTATION MARK
250   fa   372   U+201b   ‛    SINGLE HIGH-REVERSED-9 QUOTATION MARK
251   fb   373   U+201d   ”    RIGHT DOUBLE QUOTATION MARK
252   fc   374   U+201e   „    DOUBLE LOW-9 QUOTATION MARK
253   fd   375   U+2026   …    HORIZONTAL ELLIPSIS
254   fe   376   U+2212   −    MINUS SIGN
255   ff   377   U+fffd   �    REPLACEMENT CHARACTER
